KO,Description,Functional_Hier_A,Functional_Hier_B,Functional_Hier_C
K09027,XBP1; X box-binding protein 1,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
K04682,E2F4_5; transcription factor E2F4/5,Eukaryotic type,Helix-turn-helix,"Fork head/winged helix cell cycle-controlling factors, E2F"
K09390,E2F6; transcription factor E2F6,Eukaryotic type,Helix-turn-helix,"Fork head/winged helix cell cycle-controlling factors, E2F"
K09391,E2F7_8; transcription factor E2F7/8,Eukaryotic type,Helix-turn-helix,"Fork head/winged helix cell cycle-controlling factors, E2F"
K04683,TFDP1; transcription factor Dp-1,Eukaryotic type,Helix-turn-helix,"Fork head/winged helix cell cycle-controlling factors, DP"
K09392,TFDP2; transcription factor Dp-2,Eukaryotic type,Helix-turn-helix,"Fork head/winged helix cell cycle-controlling factors, DP"
K09393,TFDP3; transcription factor Dp-3,Eukaryotic type,Helix-turn-helix,"Fork head/winged helix cell cycle-controlling factors, DP"
K09395,FOXB; forkhead box protein B,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09397,FOXD; forkhead box protein D,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09398,FOXE; forkhead box protein E,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09399,FOXF; forkhead box protein F,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09400,FOXH; forkhead box protein H,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09401,FOXI; forkhead box protein I,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09403,FOXJ2_3; forkhead box protein J2/3,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09404,FOXK; forkhead box protein K,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09405,FOXL; forkhead box protein L,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09406,FOXM; forkhead box protein M,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K07201,FOXO1; forkhead box protein O1,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09408,FOXO3; forkhead box protein O3,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K12358,FOXO4; forkhead box protein O4,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K17847,FOXO6; forkhead box protein O6,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K23582,FOXP1; forkhead box protein P1,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09409,FOXP2_4; forkhead box protein P2/4,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K10163,"FOXP3, IPEX; forkhead box P3",Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09410,"FOXQ, HFH1; forkhead box protein Q",Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K26215,FOXR; forkhead box protein R,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09412,FOXS; forkhead box protein S,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09411,"FOXX; forkhead box protein, other",Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09413,HCM1; forkhead transcription factor HCM1,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K24664,FKH; forkhead protein FKH,Eukaryotic type,Helix-turn-helix,Fork head/winged helix other regulators
K09414,HSF1; heat shock transcription factor 1,Eukaryotic type,Helix-turn-helix,Heat shock factors
K09415,HSF2; heat shock transcription factor 2,Eukaryotic type,Helix-turn-helix,Heat shock factors
K09416,HSF3; heat shock transcription factor 3,Eukaryotic type,Helix-turn-helix,Heat shock factors
K09417,HSF4; heat shock transcription factor 4,Eukaryotic type,Helix-turn-helix,Heat shock factors
K09419,"HSFF; heat shock transcription factor, other eukaryote",Eukaryotic type,Helix-turn-helix,Heat shock factors
K09420,"MYB, C-MYB; transcriptional activator Myb",Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-factors"
K09421,"MYBL1, A-MYB; myb-related protein A",Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-factors"
K21769,"MYBL2, B-MYB; myb-related protein B",Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-factors"
K09422,"MYBP; transcription factor MYB, plant",Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-factors"
K23865,MYB30; transcription factor MYB30,Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-factors"
K16166,"PAP1, MYB75; transcription factor MYB75",Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-factors"
K12133,LHY; MYB-related transcription factor LHY,Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-factors"
K12134,CCA1; circadian clock associated 1,Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-factors"
K09453,SNAPC4; snRNA-activating protein complex subunit 4,Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-like factors"
K21625,"DMTF1, DMP1; cyclin-D-binding Myb-like transcription factor 1",Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-like factors"
K09423,BAS1; Myb-like DNA-binding protein BAS1,Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-like factors"
K09424,REB1; Myb-like DNA-binding protein REB1,Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-like factors"
K09425,K09425; Myb-like DNA-binding protein FlbD,Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-like factors"
K09426,RAP1; Myb-like DNA-binding protein RAP1,Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-like factors"
K09427,ADF1; Adh transcription factor 1,Eukaryotic type,Helix-turn-helix,"Tryptophan clusters Myb, Myb-like factors"
K09428,ELF1_2_4; E74-like factor 1/2/4,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09429,"K09429, ELF3; E74-like factor 3",Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K17101,ELF5; E74-like factor 5,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K17102,EHF; ETS homologous factor,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K04375,ELK1; ETS domain-containing protein Elk-1,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09430,ELK3; ETS domain-containing protein Elk-3 (SRF accessory protein 2),Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K04376,"ELK4, SAP1; ETS domain-containing protein Elk-4",Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09431,ETV1; ets translocation variant 1,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09432,"ETV2, ER71; ETS translocation variant 2",Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09433,ETV3; ETS translocation variant 3,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K15592,ETV4; ets translocation variant 4,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K15593,ETV5; ets translocation variant 5,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K03211,"ETV6_7, yan; ETS translocation variant 6/7",Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09434,ERF; ETS domain-containing transcription factor ERF,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K02678,"ETS1, pnt; C-ets-1",Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K21932,ETS2; C-ets-2,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09435,ERG; transcriptional regulator ERG,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09436,FLI1; friend leukemia integration 1 transcription factor,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09437,FEV; ETS oncogene family protein FEV,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09438,SPI1; transcription factor PU.1,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09439,SPIB; transcription factor Spi-B,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09440,SPIC; transcription factor Spi-C,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09441,"GABPA; GA-binding protein transcription factor, alpha",Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09442,SPDEF; SAM pointed domain-containing ETS transcription factor,Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09443,"K09443; ETS-type family, other",Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
K09444,IRF1; interferon regulatory factor 1,Eukaryotic type,Helix-turn-helix,Tryptophan clusters interferon-regulating factors
K10153,IRF2; interferon regulatory factor 2,Eukaryotic type,Helix-turn-helix,Tryptophan clusters interferon-regulating factors
K05411,IRF3; interferon regulatory factor 3,Eukaryotic type,Helix-turn-helix,Tryptophan clusters interferon-regulating factors
K09445,IRF4; interferon regulatory factor 4,Eukaryotic type,Helix-turn-helix,Tryptophan clusters interferon-regulating factors
K09446,IRF5; interferon regulatory factor 5,Eukaryotic type,Helix-turn-helix,Tryptophan clusters interferon-regulating factors
K10154,IRF6; interferon regulatory factor 6,Eukaryotic type,Helix-turn-helix,Tryptophan clusters interferon-regulating factors
K09447,IRF7; interferon regulatory factor 7,Eukaryotic type,Helix-turn-helix,Tryptophan clusters interferon-regulating factors
K10155,IRF8; interferon regulatory factor 8,Eukaryotic type,Helix-turn-helix,Tryptophan clusters interferon-regulating factors
K04693,"IRF9, ISGF3G, P48; interferon regulatory factor 9",Eukaryotic type,Helix-turn-helix,Tryptophan clusters interferon-regulating factors
K09448,TEAD; transcriptional enhancer factor,Eukaryotic type,Helix-turn-helix,TEA domain
K11653,ARID1; AT-rich interactive domain-containing protein 1,Eukaryotic type,Helix-turn-helix,ARID
K11765,ARID2; AT-rich interactive domain-containing protein 2,Eukaryotic type,Helix-turn-helix,ARID
K25856,ARID3; AT-rich interactive domain-containing protein 3,Eukaryotic type,Helix-turn-helix,ARID
K19194,"ARID4A, RBP1; AT-rich interactive domain-containing protein 4A",Eukaryotic type,Helix-turn-helix,ARID
K19195,ARID4B; AT-rich interactive domain-containing protein 4B,Eukaryotic type,Helix-turn-helix,ARID
K25857,ARID5; AT-rich interactive domain-containing protein 5,Eukaryotic type,Helix-turn-helix,ARID
K02580,NFKB1; nuclear factor NF-kappa-B p105 subunit,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Rel/Ankyrin
K04469,NFKB2; nuclear factor of kappa light polypeptide gene enhancer in B-cells 2,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Rel/Ankyrin
K04735,RELA; transcription factor p65,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Rel/Ankyrin
K09253,RELB; transcription factor RelB,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Rel/Ankyrin
K09254,REL; c-Rel proto-oncogene protein,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Rel/Ankyrin
K04734,NFKBIA; NF-kappa-B inhibitor alpha,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Ankyrin only
K02581,NFKBIB; NF-kappa-B inhibitor beta,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Ankyrin only
K14214,NFKBID; NF-kappa-B inhibitor delta,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Ankyrin only
K05872,NFKBIE; NF-kappa-B inhibitor epsilon,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Ankyrin only
K14242,NFKBIZ; NF-kappa-B inhibitor zeta,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Ankyrin only
K09256,NFKBIL1; NF-kappa-B inhibitor-like protein 1,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Ankyrin only
K09257,NFKBIL2; NF-kappa-B inhibitor-like protein 2,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Ankyrin only
K09258,BCL3; B-cell CLL/lymphoma 3 protein,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Ankyrin only
K09454,"GABPB; GA-binding protein transcription factor, beta",Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) Ankyrin only
K04446,"NFATC1, NFAT2, NFATC; nuclear factor of activated T-cells, cytoplasmic 1",Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) NF-AT
K17332,"NFATC2, NFAT1, NFATP; nuclear factor of activated T-cells, cytoplasmic 2",Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) NF-AT
K17333,"NFATC3, NFAT4; nuclear factor of activated T-cells, cytoplasmic 3",Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) NF-AT
K17334,"NFATC4, NFAT3; nuclear factor of activated T-cells, cytoplasmic 4",Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) NF-AT
K17335,NFAT5; nuclear factor of activated T-cells 5,Eukaryotic type,beta-Scaffold factors with minor groove contacts,RHR (Rel homology region) NF-AT
K11220,STAT1; signal transducer and activator of transcription 1,Eukaryotic type,beta-Scaffold factors with minor groove contacts,STAT
K11221,STAT2; signal transducer and activator of transcription 2,Eukaryotic type,beta-Scaffold factors with minor groove contacts,STAT
K04692,STAT3; signal transducer and activator of transcription 3,Eukaryotic type,beta-Scaffold factors with minor groove contacts,STAT
K11222,STAT4; signal transducer and activator of transcription 4,Eukaryotic type,beta-Scaffold factors with minor groove contacts,STAT
K11223,STAT5A; signal transducer and activator of transcription 5A,Eukaryotic type,beta-Scaffold factors with minor groove contacts,STAT
K11224,STAT5B; signal transducer and activator of transcription 5B,Eukaryotic type,beta-Scaffold factors with minor groove contacts,STAT
K11225,STAT6; signal transducer and activator of transcription 6,Eukaryotic type,beta-Scaffold factors with minor groove contacts,STAT
K04451,"TP53, P53; tumor protein p53",Eukaryotic type,beta-Scaffold factors with minor groove contacts,p53
K10148,TP73; tumor protein p73,Eukaryotic type,beta-Scaffold factors with minor groove contacts,p53
K10149,TP63; tumor protein p63,Eukaryotic type,beta-Scaffold factors with minor groove contacts,p53
K09260,MEF2A; MADS-box transcription enhancer factor 2A,Eukaryotic type,beta-Scaffold factors with minor groove contacts,"MADS-box regulators of differentiation, MEF-2"
K09261,MEF2B; MADS-box transcription enhancer factor 2B,Eukaryotic type,beta-Scaffold factors with minor groove contacts,"MADS-box regulators of differentiation, MEF-2"
K04454,MEF2C; MADS-box transcription enhancer factor 2C,Eukaryotic type,beta-Scaffold factors with minor groove contacts,"MADS-box regulators of differentiation, MEF-2"
K09262,MEF2D; MADS-box transcription enhancer factor 2D,Eukaryotic type,beta-Scaffold factors with minor groove contacts,"MADS-box regulators of differentiation, MEF-2"
K09264,"K09264; MADS-box transcription factor, plant",Eukaryotic type,beta-Scaffold factors with minor groove contacts,"MADS-box regulators of differentiation, Homeotic genes"
K12412,MCM1; pheromone receptor transcription factor,Eukaryotic type,beta-Scaffold factors with minor groove contacts,"MADS-box regulators of differentiation, Yeast regulators"
K19808,"ARG80, ARGR1; arginine metabolism regulation protein I",Eukaryotic type,beta-Scaffold factors with minor groove contacts,"MADS-box regulators of differentiation, Yeast regulators"
K09265,RLM1; transcription factor RLM1,Eukaryotic type,beta-Scaffold factors with minor groove contacts,"MADS-box regulators of differentiation, Yeast regulators"
K19807,SMP1; transcription factor SMP1,Eukaryotic type,beta-Scaffold factors with minor groove contacts,"MADS-box regulators of differentiation, Yeast regulators"
K04378,SRF; serum response factor,Eukaryotic type,beta-Scaffold factors with minor groove contacts,MADS-box responders to external signals
K15413,SP100; nuclear body protein Sp100,Eukaryotic type,beta-Scaffold factors with minor groove contacts,SAND domain-containing proteins
K24503,SP110; nuclear body protein Sp110,Eukaryotic type,beta-Scaffold factors with minor groove contacts,SAND domain-containing proteins
K24504,SP140; nuclear body protein Sp140,Eukaryotic type,beta-Scaffold factors with minor groove contacts,SAND domain-containing proteins
K10603,AIRE; autoimmune regulator,Eukaryotic type,beta-Scaffold factors with minor groove contacts,SAND domain-containing proteins
K23041,DEAF1; deformed epidermal autoregulatory factor 1,Eukaryotic type,beta-Scaffold factors with minor groove contacts,SAND domain-containing proteins
K24505,GMEB; glucocorticoid modulatory element-binding protein,Eukaryotic type,beta-Scaffold factors with minor groove contacts,SAND domain-containing proteins
K03120,"TBP, tbp; transcription initiation factor TFIID TATA-box-binding protein",Eukaryotic type,beta-Scaffold factors with minor groove contacts,TATA-binding proteins
K09266,SRY; sex-determining region Y protein (SOX group A),Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG SOX
K09267,SOX1S; transcription factor SOX1/3/14/21 (SOX group B),Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG SOX
K16796,SOX2; transcription factor SOX2 (SOX group B),Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG SOX
K23581,SOX4; transcription factor SOX4 (SOX group C),Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG SOX
K09268,SOX11_12; transcription factor SOX11/12 (SOX group C),Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG SOX
K09269,SOX5_6_13; transcription factor SOX5/6/13 (SOX group D),Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG SOX
K09270,SOX7S; transcription factor SOX7/8/10/18 (SOX group E/F),Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG SOX
K18435,SOX9; transcription factor SOX9 (SOX group E),Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG SOX
K04495,SOX17; transcription factor SOX17 (SOX group F),Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG SOX
K09271,SOX15_30; transcription factor SOX15/30,Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG SOX
K20225,CIC; capicua transcriptional repressor,Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG SOX
K21643,"BBX, HBP2; HMG box transcription factor BBX",Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG SOX
K21644,HBP1; HMG box transcription factor 1,Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG SOX
K04492,LEF1; lymphoid enhancer-binding factor 1,Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG TCF-1
K02620,"TCF7, TCF-1; transcription factor 7",Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG TCF-1
K04490,TCF7L1; transcription factor 7-like 1,Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG TCF-1
K04491,TCF7L2; transcription factor 7-like 2,Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG TCF-1
K09272,"SSRP1, POB3; FACT complex subunit SSRP1/POB3",Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG2-related
K09273,UBTF; upstream-binding transcription factor,Eukaryotic type,beta-Scaffold factors with minor groove contacts,UBF
K22483,HMO1; transcriptional regulator HMO1,Eukaryotic type,beta-Scaffold factors with minor groove contacts,Other HMG box factors
K22496,"RFG1, ROX1; repressor RFG1/ROX1",Eukaryotic type,beta-Scaffold factors with minor groove contacts,Other HMG box factors
K09274,"K09274; HMG box factor, other",Eukaryotic type,beta-Scaffold factors with minor groove contacts,Other HMG box factors
K08064,"NFYA, HAP2; nuclear transcription factor Y, alpha",Eukaryotic type,beta-Scaffold factors with minor groove contacts,Heteromeric CCAAT factors
K08065,"NFYB, HAP3; nuclear transcription Y subunit beta",Eukaryotic type,beta-Scaffold factors with minor groove contacts,Heteromeric CCAAT factors
K08066,"NFYC, HAP5; nuclear transcription factor Y, gamma",Eukaryotic type,beta-Scaffold factors with minor groove contacts,Heteromeric CCAAT factors
K09275,TFCP2; transcription factor CP2 and related proteins,Eukaryotic type,beta-Scaffold factors with minor groove contacts,Grainyhead
K06099,"CSDA, ZONAB; cold shock domain protein A",Eukaryotic type,beta-Scaffold factors with minor groove contacts,"Cold-shock domain factors, DbpA-like"
K09276,"YBX1, NSEP1; Y-box-binding protein 1",Eukaryotic type,beta-Scaffold factors with minor groove contacts,"Cold-shock domain factors, YB-1/DbpB-like"
K09277,YBX2; Y-box-binding protein 2,Eukaryotic type,beta-Scaffold factors with minor groove contacts,"Cold-shock domain factors, FRG Y2-like"
K08367,"RUNX1, AML1; runt-related transcription factor 1",Eukaryotic type,beta-Scaffold factors with minor groove contacts,Runt
K09278,"RUNX2, AML3; runt-related transcription factor 2",Eukaryotic type,beta-Scaffold factors with minor groove contacts,Runt
K09279,"RUNX3, AML2; runt-related transcription factor 3",Eukaryotic type,beta-Scaffold factors with minor groove contacts,Runt
K20213,RUN; RUNX transcription factor Runt,Eukaryotic type,beta-Scaffold factors with minor groove contacts,Runt
K20214,LZ; RUNX transcription factor Lozenge,Eukaryotic type,beta-Scaffold factors with minor groove contacts,Runt
K09280,RUNXA_B; runt-related transcription factor,Eukaryotic type,beta-Scaffold factors with minor groove contacts,Runt
K24768,MYRF; myelin regulatory factor [EC:3.4.-.-],Eukaryotic type,beta-Scaffold factors with minor groove contacts,MYRF
K12769,NDT80; meiosis-specific transcription factor NDT80,Eukaryotic type,beta-Scaffold factors with minor groove contacts,MYRF
K09282,HMGA1; high mobility group AT-hook protein 1,Eukaryotic type,Other transcription factors,HMGI(Y)
K09283,HMGA2; high mobility group AT-hook protein 2,Eukaryotic type,Other transcription factors,HMGI(Y)
K15626,"NUPR1, COM1; nuclear protein 1",Eukaryotic type,Other transcription factors,NUPR
K25793,"NUPR2, NUPR1L; nuclear protein 2",Eukaryotic type,Other transcription factors,NUPR
K06618,RB1; retinoblastoma-associated protein,Eukaryotic type,Other transcription factors,Pocket domain Rb
K04681,RBL1; retinoblastoma-like protein 1,Eukaryotic type,Other transcription factors,Pocket domain Rb
K16332,RBL2; retinoblastoma-like protein 2,Eukaryotic type,Other transcription factors,Pocket domain Rb
K04498,"EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]",Eukaryotic type,Other transcription factors,Pocket domain CBP
K10172,"BRA, T; brachyury protein",Eukaryotic type,Other transcription factors,T-box
K10173,"EOMES, TBR2; eomesodermin protein",Eukaryotic type,Other transcription factors,T-box
K10174,TBR1; T-box brain protein 1,Eukaryotic type,Other transcription factors,T-box
K10175,TBX1; T-box protein 1,Eukaryotic type,Other transcription factors,T-box
K10176,TBX2; T-box protein 2,Eukaryotic type,Other transcription factors,T-box
K10177,TBX3; T-box protein 3,Eukaryotic type,Other transcription factors,T-box
K10178,TBX4; T-box protein 4,Eukaryotic type,Other transcription factors,T-box
K10179,"TBX5, HOS; T-box protein 5",Eukaryotic type,Other transcription factors,T-box
K10180,TBX6; T-box protein 6,Eukaryotic type,Other transcription factors,T-box
K10181,"TBX10, TBX7; T-box protein 10",Eukaryotic type,Other transcription factors,T-box
K10182,"TBX15, TBX14; T-box protein 15",Eukaryotic type,Other transcription factors,T-box
K10183,TBX18; T-box protein 18,Eukaryotic type,Other transcription factors,T-box
K10184,TBX19; T-box protein 19,Eukaryotic type,Other transcription factors,T-box
K10185,TBX20; T-box protein 20,Eukaryotic type,Other transcription factors,T-box
K10166,TBX21; T-box protein 21,Eukaryotic type,Other transcription factors,T-box
K10186,TBX22; T-box protein 22,Eukaryotic type,Other transcription factors,T-box
K19488,DMRT1; doublesex- and mab-3-related transcription factor 1,Eukaryotic type,Other transcription factors,DMRT
K19489,DMRT2; doublesex- and mab-3-related transcription factor 2,Eukaryotic type,Other transcription factors,DMRT
K19490,DMRT3; doublesex- and mab-3-related transcription factor 3,Eukaryotic type,Other transcription factors,DMRT
K19491,"DMRT4_5, DMRTA; doublesex- and mab-3-related transcription factor 4/5",Eukaryotic type,Other transcription factors,DMRT
K19492,"DMRT6, DMRTB; doublesex- and mab-3-related transcription factor 6",Eukaryotic type,Other transcription factors,DMRT
K19493,"DMRT7, DMRTC2; doublesex- and mab-3-related transcription factor 7",Eukaryotic type,Other transcription factors,DMRT
K19494,"DMRT8, DMRTC1; doublesex- and mab-3-related transcription factor 8",Eukaryotic type,Other transcription factors,DMRT
K26434,LRRFIP; leucine-rich repeat flightless-interacting protein,Eukaryotic type,Other transcription factors,LRRFIP
K16221,"TCP21, CHE; transcription factor TCP21 (protein CCA1 HIKING EXPEDITION)",Eukaryotic type,Other transcription factors,TCP
K09284,"AP2; AP2-like factor, euAP2 lineage",Eukaryotic type,Other transcription factors,AP2/ERF
K09285,"OVM, ANT; AP2-like factor, ANT lineage",Eukaryotic type,Other transcription factors,AP2/ERF
K09287,RAV; RAV-like factor,Eukaryotic type,Other transcription factors,AP2/ERF
K09286,EREBP; EREBP-like factor,Eukaryotic type,Other transcription factors,AP2/ERF
K14516,ERF1; ethylene-responsive transcription factor 1,Eukaryotic type,Other transcription factors,AP2/ERF
K14517,ERF2; ethylene-responsive transcription factor 2,Eukaryotic type,Other transcription factors,AP2/ERF
K14507,ORCA2_3; AP2-domain DNA-binding protein ORCA2/3,Eukaryotic type,Other transcription factors,AP2/ERF
K13432,PTI4; pathogenesis-related genes transcriptional activator PTI4,Eukaryotic type,Other transcription factors,AP2/ERF
K13433,PTI5; pathogenesis-related genes transcriptional activator PTI5,Eukaryotic type,Other transcription factors,AP2/ERF
K13434,PTI6; pathogenesis-related genes transcriptional activator PTI6,Eukaryotic type,Other transcription factors,AP2/ERF
K18834,WRKY1; WRKY transcription factor 1,Eukaryotic type,Other transcription factors,WRKY
K18835,WRKY2; WRKY transcription factor 2,Eukaryotic type,Other transcription factors,WRKY
K13425,WRKY22; WRKY transcription factor 22,Eukaryotic type,Other transcription factors,WRKY
K13423,WRKY25; WRKY transcription factor 25,Eukaryotic type,Other transcription factors,WRKY
K13426,WRKY29; WRKY transcription factor 29,Eukaryotic type,Other transcription factors,WRKY
K13424,WRKY33; WRKY transcription factor 33,Eukaryotic type,Other transcription factors,WRKY
K13944,LBD16; LOB domain-containing protein 16,Eukaryotic type,Other transcription factors,LOB
K21994,LBD18; LOB domain-containing protein 18,Eukaryotic type,Other transcription factors,LOB
K13945,LBD29; LOB domain-containing protein 29,Eukaryotic type,Other transcription factors,LOB
K09281,K09281; copper-fist transcription factor,Eukaryotic type,Other transcription factors,Copper-fist proteins fungal regulators
K21404,AKNA; AT-hook-containing transcription factor,Eukaryotic type,Other transcription factors,Others
K21595,CARF; calcium-responsive transcription factor,Eukaryotic type,Other transcription factors,Others
K21596,CAMTA; calmodulin-binding transcription activator,Eukaryotic type,Other transcription factors,Others
K21598,GCM; chorion-specific transcription factor GCM,Eukaryotic type,Other transcription factors,Others
K21599,"CIART, CHRONO, GM129; circadian-associated transcriptional repressor",Eukaryotic type,Other transcription factors,Others
K22145,TMEM18; transmembrane protein 18,Eukaryotic type,Other transcription factors,Others
K22543,MN1; transcriptional activator MN1,Eukaryotic type,Other transcription factors,Others
K22758,CHCHD2; coiled-coil-helix-coiled-coil-helix domain-containing protein 2,Eukaryotic type,Other transcription factors,Others
K06053,"RBPSUH, RBPJK; recombining binding protein suppressor of hairless",Eukaryotic type,Other transcription factors,Others
K23804,GON4L; GON-4-like protein,Eukaryotic type,Other transcription factors,Others
K21772,PURA; transcriptional activator protein Pur-alpha,Eukaryotic type,Other transcription factors,Others
K21799,PURB; transcriptional activator protein Pur-beta,Eukaryotic type,Other transcription factors,Others
K24992,MYEF2; myelin expression factor 2,Eukaryotic type,Other transcription factors,Others
K23408,"CDCA7, CDCA7L, JPO1; cell division cycle-associated protein 7",Eukaryotic type,Other transcription factors,Others
